2000,Where they live,count
2000,India,"1,346"
2000,United States,449
2000,"New Delhi Area, India",333
2000,"Bengaluru Area, India",266
2000,"Gurgaon, India",127
2000,"Mumbai Area, India",110
2000,San Francisco Bay Area,103
2000,United Kingdom,96
2000,"Noida Area, India",77
2000,Greater New York City Area,65
2000,"Hyderabad Area, India",56
2000,Singapore,54
2000,"London, United Kingdom",48
2000,"Pune Area, India",42
2000,United Arab Emirates,41
2000,Where they work,count
2000,Tata Consultancy Services,42
2000,Infosys,28
2000,IBM,24
2000,NTPC Limited,23
2000,Intel Corporation,21
2000,Amazon,20
2000,Microsoft,19
2000,Google,18
2000,Wipro Limited,15
2000,Cognizant,14
2000,Accenture,12
2000,Broadcom Inc.,11
2000,NVIDIA,8
2000,Qualcomm,7
2000,Indian Oil Corporation Limited,6
2000,What they do,count
2000,Engineering,454
2000,Business Development,372
2000,Information Technology,231
2000,Operations,226
2000,Research,152
2000,Education,144
2000,Program and Project Management,141
2000,Consulting,91
2000,Sales,90
2000,Finance,86
2000,Arts and Design,61
2000,Product Management,52
2000,Marketing,33
2000,Support,33
2000,Entrepreneurship,32
2000,What they studied,count
2000,Mechanical Engineering,268
2000,Electrical and Electronics Engineering,256
2000,Computer Science,189
2000,"Finance, General",141
2000,Chemical Engineering,139
2000,Civil Engineering,118
2000,Mathematics,105
2000,"Business Administration and Management, General",104
2000,Marketing,103
2000,"Electrical, Electronics and Communications Engineering",101
2000,Mechanics,99
2000,Chemistry,97
2000,Physics,91
2000,Computer Engineering,85
2000,"Design and Visual Communications, General",84
2000,What they are skilled at,count
2000,Project Management,510
2000,Management,501
2000,Business Analysis,370
2000,Team Management,345
2000,Strategy,333
2000,Business Strategy,324
2000,Business Development,299
2000,Software Project Management,289
2000,Requirements Analysis,287
2000,Leadership,284
2000,Program Management,273
2000,Software Development,271
2000,Agile Methodologies,255
2000,Software Development Life Cycle (SDLC),254
2000,Solution Architecture,208
2000,How you are connected,count
2000,3rd+,"2,202"
,,
2001,Where they live,count
2001,India,"1,320"
2001,United States,420
2001,"New Delhi Area, India",352
2001,"Bengaluru Area, India",220
2001,"Mumbai Area, India",136
2001,"Gurgaon, India",108
2001,United Kingdom,93
2001,San Francisco Bay Area,92
2001,"Noida Area, India",83
2001,Greater New York City Area,75
2001,Singapore,58
2001,"London, United Kingdom",46
2001,"Hyderabad Area, India",42
2001,"Pune Area, India",33
2001,Greater Seattle Area,29
2001,Where they work,count
2001,Tata Consultancy Services,29
2001,Infosys,25
2001,Intel Corporation,21
2001,IBM,18
2001,NTPC Limited,18
2001,Microsoft,16
2001,Amazon,14
2001,Cognizant,14
2001,Apple,11
2001,Synopsys Inc,11
2001,Capgemini,9
2001,Mentor Graphics,9
2001,Larsen & Toubro,8
2001,Tech Mahindra,7
2001,Arm,6
2001,What they do,count
2001,Engineering,429
2001,Business Development,381
2001,Operations,228
2001,Information Technology,189
2001,Education,169
2001,Research,142
2001,Program and Project Management,109
2001,Finance,102
2001,Consulting,94
2001,Sales,76
2001,Arts and Design,67
2001,Product Management,65
2001,Marketing,50
2001,Entrepreneurship,36
2001,Media and Communication,33
2001,What they studied,count
2001,Mechanical Engineering,266
2001,Electrical and Electronics Engineering,232
2001,Computer Science,153
2001,"Finance, General",149
2001,Chemical Engineering,134
2001,Civil Engineering,118
2001,"Electrical, Electronics and Communications Engineering",115
2001,"Business Administration and Management, General",111
2001,Mathematics,108
2001,Chemistry,96
2001,Physics,94
2001,Marketing,94
2001,"Design and Visual Communications, General",89
2001,Computer Engineering,88
2001,Mechanics,87
2001,What they are skilled at,count
2001,Management,484
2001,Project Management,475
2001,Business Analysis,383
2001,Team Management,379
2001,Business Strategy,359
2001,Strategy,348
2001,Business Development,325
2001,Leadership,261
2001,Requirements Analysis,242
2001,Engineering,225
2001,Management Consulting,217
2001,Financial Modeling,216
2001,Product Development,213
2001,Program Management,213
2001,Software Development,211
2001,How you are connected,count
2001,3rd+,"2,143"
,,
2002,Where they live,count
2002,India,"1,426"
2002,United States,397
2002,"New Delhi Area, India",385
2002,"Bengaluru Area, India",246
2002,"Gurgaon, India",129
2002,"Mumbai Area, India",128
2002,San Francisco Bay Area,94
2002,United Kingdom,92
2002,"Noida Area, India",76
2002,Singapore,69
2002,Greater New York City Area,67
2002,"Hyderabad Area, India",59
2002,"London, United Kingdom",47
2002,United Arab Emirates,46
2002,Germany,44
2002,Where they work,count
2002,Tata Consultancy Services,28
2002,Google,27
2002,NTPC Limited,22
2002,Microsoft,21
2002,Intel Corporation,21
2002,Amazon,21
2002,Infosys,16
2002,"Indian Institute of Technology, Delhi",16
2002,IBM,15
2002,Accenture,13
2002,Cadence Design Systems,11
2002,NVIDIA,7
2002,Morgan Stanley,7
2002,Flipkart,6
2002,Arm,6
2002,What they do,count
2002,Engineering,494
2002,Business Development,387
2002,Operations,231
2002,Information Technology,220
2002,Research,187
2002,Education,166
2002,Finance,122
2002,Program and Project Management,99
2002,Consulting,96
2002,Sales,80
2002,Arts and Design,56
2002,Product Management,51
2002,Marketing,45
2002,Human Resources,36
2002,Entrepreneurship,34
2002,What they studied,count
2002,Mechanical Engineering,257
2002,Electrical and Electronics Engineering,238
2002,"Finance, General",186
2002,Computer Science,182
2002,Civil Engineering,159
2002,Chemical Engineering,144
2002,Mathematics,121
2002,Computer Engineering,118
2002,Physics,118
2002,Chemistry,113
2002,"Business Administration and Management, General",113
2002,Marketing,108
2002,"Electrical, Electronics and Communications Engineering",101
2002,Mechanics,97
2002,"Design and Visual Communications, General",80
2002,What they are skilled at,count
2002,Management,493
2002,Project Management,461
2002,Business Strategy,403
2002,Team Management,383
2002,Business Analysis,379
2002,Strategy,366
2002,Business Development,335
2002,Engineering,260
2002,Financial Modeling,247
2002,Leadership,239
2002,Management Consulting,211
2002,C++,209
2002,Project Planning,205
2002,C (Programming Language),201
2002,Requirements Analysis,190
2002,How you are connected,count
2002,3rd+,"2,274"
,,
2003,Where they live,count
2003,India,"1,350"
2003,"New Delhi Area, India",385
2003,United States,379
2003,"Bengaluru Area, India",202
2003,"Mumbai Area, India",126
2003,"Gurgaon, India",121
2003,San Francisco Bay Area,106
2003,United Kingdom,76
2003,"Noida Area, India",64
2003,Greater New York City Area,57
2003,Singapore,48
2003,"London, United Kingdom",41
2003,United Arab Emirates,39
2003,"Hyderabad Area, India",30
2003,"Kolkata Area, India",27
2003,Where they work,count
2003,Google,24
2003,Tata Consultancy Services,21
2003,NTPC Limited,19
2003,Microsoft,18
2003,Amazon,15
2003,Infosys,12
2003,Indian Oil Corporation Limited,12
2003,Cognizant,11
2003,Cadence Design Systems,10
2003,Maruti Suzuki India Limited,10
2003,Morgan Stanley,9
2003,Larsen & Toubro,8
2003,Synopsys Inc,6
2003,ICICI Bank,6
2003,Tech Mahindra,5
2003,What they do,count
2003,Engineering,405
2003,Business Development,332
2003,Operations,215
2003,Education,183
2003,Research,172
2003,Information Technology,158
2003,Finance,95
2003,Sales,87
2003,Program and Project Management,77
2003,Consulting,66
2003,Arts and Design,60
2003,Product Management,49
2003,Marketing,48
2003,Entrepreneurship,31
2003,Community and Social Services,27
2003,What they studied,count
2003,Mechanical Engineering,222
2003,Electrical and Electronics Engineering,200
2003,Computer Science,163
2003,Civil Engineering,147
2003,Chemical Engineering,144
2003,"Finance, General",136
2003,Mathematics,117
2003,Chemistry,115
2003,"Business Administration and Management, General",114
2003,Physics,110
2003,Computer Engineering,102
2003,"Electrical, Electronics and Communications Engineering",84
2003,Marketing,83
2003,Physical Sciences,76
2003,"Design and Visual Communications, General",68
2003,What they are skilled at,count
2003,Management,416
2003,Project Management,405
2003,Business Strategy,368
2003,Team Management,346
2003,Business Analysis,329
2003,Strategy,326
2003,Business Development,288
2003,Engineering,256
2003,Analytics,230
2003,Management Consulting,221
2003,MATLAB,210
2003,C++,210
2003,Financial Modeling,208
2003,Leadership,199
2003,Data Analysis,196
2003,How you are connected,count
2003,3rd+,"2,100"
,,
2004,Where they live,count
2004,India,"1,693"
2004,"New Delhi Area, India",447
2004,United States,364
2004,"Bengaluru Area, India",284
2004,"Mumbai Area, India",144
2004,"Gurgaon, India",132
2004,San Francisco Bay Area,93
2004,"Hyderabad Area, India",73
2004,"Noida Area, India",72
2004,United Kingdom,69
2004,Greater New York City Area,68
2004,Singapore,43
2004,"Pune Area, India",42
2004,"London, United Kingdom",41
2004,United Arab Emirates,40
2004,Where they work,count
2004,NTPC Limited,33
2004,Amazon,26
2004,Microsoft,24
2004,Google,22
2004,Intel Corporation,21
2004,Tata Consultancy Services,21
2004,IBM,18
2004,Accenture,15
2004,Larsen & Toubro,13
2004,NVIDIA,11
2004,EY,10
2004,Flipkart,8
2004,John Deere,8
2004,Indian Oil Corporation Limited,8
2004,OYO,7
2004,What they do,count
2004,Engineering,518
2004,Business Development,345
2004,Operations,241
2004,Education,200
2004,Research,196
2004,Information Technology,192
2004,Finance,107
2004,Sales,94
2004,Program and Project Management,91
2004,Consulting,84
2004,Product Management,67
2004,Arts and Design,51
2004,Marketing,43
2004,Human Resources,37
2004,Community and Social Services,37
2004,What they studied,count
2004,Mechanical Engineering,254
2004,Electrical and Electronics Engineering,225
2004,Computer Science,201
2004,Civil Engineering,174
2004,Chemical Engineering,162
2004,"Finance, General",162
2004,"Business Administration and Management, General",134
2004,Physics,121
2004,Chemistry,120
2004,Mathematics,117
2004,"Electrical, Electronics and Communications Engineering",112
2004,Computer Engineering,96
2004,Marketing,96
2004,"Design and Visual Communications, General",93
2004,Mechanics,87
2004,What they are skilled at,count
2004,Management,497
2004,Project Management,473
2004,Business Strategy,446
2004,Team Management,428
2004,Business Analysis,392
2004,Strategy,389
2004,Business Development,340
2004,Engineering,301
2004,Financial Modeling,270
2004,Analytics,266
2004,Management Consulting,247
2004,Leadership,245
2004,Project Planning,232
2004,C++,226
2004,Analytical Skills,202
2004,How you are connected,count
2004,3rd+,"2,391"
,,
2005,Where they live,count
2005,India,"1,869"
2005,"New Delhi Area, India",573
2005,United States,361
2005,"Bengaluru Area, India",295
2005,"Gurgaon, India",172
2005,"Mumbai Area, India",149
2005,"Noida Area, India",93
2005,United Kingdom,75
2005,San Francisco Bay Area,75
2005,"Hyderabad Area, India",72
2005,Greater New York City Area,55
2005,Singapore,51
2005,Greater Seattle Area,41
2005,"London, United Kingdom",39
2005,"Pune Area, India",37
2005,Where they work,count
2005,Microsoft,30
2005,NTPC Limited,27
2005,Amazon,26
2005,IBM,21
2005,Google,20
2005,Larsen & Toubro,19
2005,Accenture,18
2005,"Indian Institute of Technology, Delhi",16
2005,Oracle,14
2005,Intel Corporation,14
2005,Infosys,13
2005,Indian Oil Corporation Limited,11
2005,Maruti Suzuki India Limited,10
2005,NVIDIA,7
2005,Flipkart,6
2005,What they do,count
2005,Engineering,527
2005,Business Development,371
2005,Operations,250
2005,Research,209
2005,Information Technology,202
2005,Education,183
2005,Program and Project Management,108
2005,Finance,107
2005,Sales,86
2005,Consulting,84
2005,Arts and Design,75
2005,Product Management,67
2005,Marketing,60
2005,Entrepreneurship,39
2005,Media and Communication,32
2005,What they studied,count
2005,Mechanical Engineering,267
2005,Electrical and Electronics Engineering,258
2005,Computer Science,198
2005,Civil Engineering,189
2005,Chemical Engineering,163
2005,"Finance, General",155
2005,Physics,148
2005,"Business Administration and Management, General",148
2005,Mathematics,147
2005,"Electrical, Electronics and Communications Engineering",122
2005,Chemistry,114
2005,Physical Sciences,108
2005,Marketing,90
2005,Electronics,88
2005,Computer Engineering,86
2005,What they are skilled at,count
2005,Project Management,517
2005,Management,507
2005,Team Management,479
2005,Business Strategy,435
2005,Business Analysis,396
2005,Strategy,379
2005,Business Development,364
2005,Engineering,321
2005,Financial Modeling,278
2005,C (Programming Language),276
2005,MATLAB,274
2005,C++,272
2005,Data Analysis,272
2005,Analytics,271
2005,Management Consulting,261
2005,How you are connected,count
2005,3rd+,"2,598"
,,
2006,Where they live,count
2006,India,"1,916"
2006,"New Delhi Area, India",560
2006,United States,337
2006,"Bengaluru Area, India",298
2006,"Gurgaon, India",162
2006,"Mumbai Area, India",149
2006,"Hyderabad Area, India",93
2006,United Kingdom,87
2006,"Noida Area, India",75
2006,San Francisco Bay Area,73
2006,Greater New York City Area,67
2006,Singapore,61
2006,United Arab Emirates,55
2006,"London, United Kingdom",48
2006,"Pune Area, India",41
2006,Where they work,count
2006,Amazon,49
2006,NTPC Limited,29
2006,Intel Corporation,23
2006,Google,22
2006,IBM,20
2006,Qualcomm,18
2006,"Indian Institute of Technology, Delhi",17
2006,Microsoft,16
2006,McKinsey & Company,16
2006,Larsen & Toubro,13
2006,Indian Oil Corporation Limited,10
2006,NVIDIA,8
2006,Morgan Stanley,8
